TaskID,TaskAO,StationID,Team,Start,End,Duration
84,AQHS00-0130,4,"[53, 19]",61.556118407178914,63.121068311706296,1.5649499045273814
153,ARWB00-0030,2,"[77, 50]",62.706942875273796,65.6199969083898,2.9130540331159978
54,AWWB00-1600,5,[78],64.76656306215307,65.20991649052553,0.44335342837246117
114,AGHXB1-0070,4,[53],63.121068311706296,65.15551677647849,2.034448464772197
71,ACCP00-0080,5,[29],63.11149281630148,63.57746258151457,0.46596976521308875
120,AGWC00-0130,5,[4],64.26678349899443,66.28349000891617,2.0167065099217467
37,AFZG00-0140,3,"[70, 35, 71, 91, 21]",57.52261625622792,58.13666321230652,0.614046956078603
99,AJHS00-0300,4,[53],65.15551677647849,65.6946455905401,0.5391288140616126
107,AEQX00-0050,1,[93],58.92332471286958,60.13783986839542,1.214515155525838
75,AQHS00-0040,4,[53],65.6946455905401,66.8644534335316,1.1698078429914887
127,ENHSB1-0320,4,[87],56.782547475670576,58.37740014306723,1.5948526673966512
125,ENHSB1-0430,3,[65],57.52261625622792,59.60813708151158,2.085520825283659
52,AWWB00-0050,1,[27],57.61016472701362,58.58725374393199,0.9770890169183701
149,ENHSB1-0410,4,[87],58.37740014306723,60.32666460821684,1.9492644651496107
55,FWQJ00-1960,5,[78],65.20991649052553,65.91928198649184,0.7093654959663098
105,AEQS00-0030,2,[77],65.6199969083898,66.7740710776758,1.1540741692860053
163,ARWB00-0130,4,"[32, 18]",59.1229878018741,60.33412040648904,1.2111326046149387
112,DXHS00-0020,1,"[13, 38]",56.49429440181791,58.35141759216977,1.8571231903518566
118,AGHXB5-0110,5,[15],64.76656306215307,66.81149626258946,2.0449332004363896
126,ENHSB1-0310,1,[51],58.00643566586893,59.518576929919945,1.5121412640510172
129,ENHSB1-0340,1,[93],60.13783986839542,62.32396709042933,2.1861272220339103
64,ACZY00-0010,2,[50],65.6199969083898,66.5992778673,0.9792809589102092
138,ENHDB1-0240,3,[81],57.52261625622792,59.09841987349098,1.5758036172630625
136,ENHDB1-0260,1,[51],59.518576929919945,61.03071819397096,1.5121412640510172
33,AFQJ00-0100,3,"[35, 81, 91]",59.09841987349098,59.79694798263738,0.6985281091463946
145,ENHDB1-0180,4,[19],63.121068311706296,64.66038862803298,1.5393203163266804
94,AJYY00-0250,4,[19],64.66038862803298,66.6786085620808,2.0182199340478206
89,AQHD00-0180,4,[32],60.33412040648904,61.32607107462144,0.9919506681323966
83,AQHS00-0120,5,[15],66.81149626258946,68.44744284731607,1.6359465847266108
131,ENQSB1-0360,3,[81],59.79694798263738,61.7229302742801,1.9259822916427254
